"vp";"waveform";"parn";"par"
"V19";"sine";"p2";"0,44186767268288368"
"V19";"sine";"p3";"0,00000000000000000"
"V19";"sine";"p4";"0,02786825330398980"
"V19";"tria";"p1";"0,53878421683248068"
"V19";"tria";"p2";"0,18043451871217650"
"V19";"tria";"p3";"0,08207902922038793"
"V19";"tria";"p4";"0,06236155048581312"
"V20";"sine";"p1";"0,66324286735905669"
"V20";"sine";"p2";"0,21717818677063250"
"V20";"sine";"p3";"0,07915529089172495"
"V20";"sine";"p4";"0,05846384000928690"
"V20";"tria";"p1";"0,67925863394234731"
"V20";"tria";"p2";"0,29612602433413854"
"V20";"tria";"p3";"0,00000000000000000"
"V20";"tria";"p4";"0,01071529721629995"
"V21";"sine";"p1";"0,88293097303329415"
"V21";"sine";"p2";"0,46734842003999566"
"V21";"sine";"p3";"0,00000000000000000"
"V21";"sine";"p4";"0,10648931961490390"
"V21";"tria";"p1";"0,98405302335169653"
"V21";"tria";"p2";"0,44337789069332728"
"V21";"tria";"p3";"0,02226610235691071"
"V21";"tria";"p4";"0,00000000000000000"
"V22";"sine";"p1";"0,78065973995516158"
"V22";"sine";"p2";"0,35245216598127305"
"V22";"sine";"p3";"0,07620414265415917"
"V22";"sine";"p4";"0,09498639401514566"
"V22";"tria";"p1";"0,61997356765109091"
"V22";"tria";"p2";"0,18544383659073807"
"V22";"tria";"p3";"0,10418565890277960"
"V22";"tria";"p4";"0,19459465698573017"
"V23";"sine";"p1";"0,57227489526565190"
"V23";"sine";"p2";"0,46540083240318636"
"V23";"sine";"p3";"0,00000000000000000"
"V23";"sine";"p4";"0,03859122952106932"
"V23";"tria";"p1";"0,52304543121199321"
"V23";"tria";"p2";"0,37574856494819830"
"V23";"tria";"p3";"0,00000000000000000"
"V23";"tria";"p4";"0,03647458965275176"
